songID,songname,singer,xiami_songname,xiami_singer,xiami_songID,songName,songType,singerID,singer.1,leftChannel,rightChannel,volume,firstLetter,languageCode,hot,clickTime,firstLetterLength,songScore,languageIntl,videoType,addDate,clickNum,label
7435803,让寂寞别走,本兮,让寂寞别走,本兮,1771721894,让寂寞别走,寂寞空灵,101195,"本兮,大陆女歌星",1,2,6,RJMBZ,0,5.0,5,5.0,1,国语,演唱会,2016-10-13,5,
7436043,我爱的你,严宽 杜若溪,我爱的你,严屹宽,1771786754,我爱的你,"影视金曲,男女对唱",112848;102892,"严宽,大陆男歌星,杜若溪,大陆女歌星",1,2,6,WADN,0,5.0,5,4.0,1,国语,演唱会,2016-10-13,5,
6002037,有种,郑中基,有种,郑中基,1796367880,有种,经典老歌,115132,"郑中基,港台男歌星",1,2,6,YZ,0,3.0,3,2.0,1,粤语,演唱会,2016-10-13,3,
6002856,晴天雨天,张力尹,"晴天, 雨天 ",张力尹,1769193446,晴天雨天,甜蜜幸福,121623,"张力尹,大陆女歌星",1,2,6,QTYT,0,6.0,6,4.0,1,国语,演唱会,2016-10-13,6,干净清澈 好听 Super 好听 Junior 韩国歌曲
6003573,往日时光,谭维维,往日时光,谭维维,1769438117,往日时光,经典翻唱,110185,"谭维维,大陆女歌星",1,2,6,WRSG,0,4.0,4,4.0,1,国语,演唱会,2016-10-13,4,民谣 安静 好听 怀旧 伤感 忧伤
7000074,Winner Takes It All,ABBA,The Winner Takes It All,ABBA,3402935,Winner Takes It All,异国风情,300039,"ABBA,欧美歌星",1,2,6,WTIA,0,7.0,7,4.0,1,英语,演唱会,2016-10-13,7,阿巴乐队 经典 妈妈咪呀 音乐剧 欧美 80年代
7002091,天使暂时离开,萧亚轩,天使暂时离开,萧亚轩,151053,天使暂时离开,经典老歌,111982,"萧亚轩,港台女歌星",1,2,7,TSZSLK,0,8.0,8,6.0,1,国语,演唱会,2016-10-13,8,飞飞飞 elva Love 中文  好听
7004441,快乐童话,马天宇,快乐童话,马天宇,2050637,快乐童话,甜蜜幸福,108139,"马天宇,大陆男歌星",1,2,6,KLTH,0,2.0,2,4.0,1,国语,演唱会,2016-10-13,2,
7005340,一人一梦,张含韵,一人一梦,张含韵,1769193424,一人一梦,经典老歌,114165,"张含韵,大陆女歌星",1,2,6,YRYM,0,2.0,2,4.0,1,国语,演唱会,2016-10-13,2,清新  华语 电影歌曲 女声
7005518,爱情酿的酒,林志炫,爱情酿的酒,林志炫,1770746620,爱情酿的酒,经典老歌,107121,"林志炫,港台男歌星",2,1,7,AQNDJ,0,11.0,11,5.0,1,国语,MV,2016-10-13,11,
7006056,七天,张瑶,七天,张瑶,165866,七天,经典老歌,114621,"张瑶,大陆女歌星",1,2,6,QT,0,10.0,10,2.0,1,国语,演唱会,2016-10-13,10,自在 清新 好听 小资 轻快 好听
7006070,星星之火,S.H.E,星星之火,S.H.E,373613,星星之火,经典老歌,100542,"S.H.E,中国组合",1,2,6,XXZH,0,4.0,4,4.0,1,国语,演唱会,2016-10-13,4,温暖  好听 轻快 舒缓 She 想听~
7006753,关于情歌,李圣杰,关于情歌,李圣杰,399031,关于情歌,经典老歌,106311,"李圣杰,港台男歌星",1,2,7,GYQG,0,6.0,6,4.0,1,国语,演唱会,2016-10-13,6,李聖杰 轻松 國語 李聖傑 感动中文歌 11
7007409,情飘飘,邓丽君,情飘飘,邓丽君,99649,情飘飘,经典老歌,102609,"邓丽君,港台女歌星",2,1,7,QPP,0,7.0,7,3.0,1,国语,MV,2016-10-13,7,
7007813,哭,林忆莲,哭,林忆莲,1772452265,哭,寂寞空灵,107081,"林忆莲,港台女歌星",1,2,6,K,0,7.0,7,1.0,1,粤语,演唱会,2016-10-13,7,粤语
7008313,爱定你,郭富城,爱定你,郭富城,1772738661,爱定你,经典老歌,103764,"郭富城,港台男歌星",1,2,7,ADN,0,7.0,7,3.0,1,国语,演唱会,2016-10-13,7,
7008590,情诫,王菲,情诫 (Live) ,麦王争霸,1772491423,情诫,经典老歌,110722,"王菲,港台女歌星",2,1,7,QJ,0,9.0,9,2.0,1,粤语,MV,2016-10-13,9,
7008672,想像十个你,吴建豪,想像十个你,吴建豪,58362,想像十个你,经典老歌,111566,"吴建豪,港台男歌星",1,2,6,XXSGN,0,4.0,4,5.0,1,国语,演唱会,2016-10-13,4,好听 华语 R&B; 台湾 好听
7009708,再会无缘的情人,庄孝纬,再会无缘的情人,庄孝纬,1793413709,再会无缘的情人,男女对唱,115610,"庄孝纬,港台男歌星",1,2,6,ZHWYDQR,0,11.0,11,7.0,1,闽南语,演唱会,2016-10-13,11,
7010384,给我一个不伤心的理由,胡力,给我一个不伤心的理由,胡力,31143,给我一个不伤心的理由,经典老歌,104510,"胡力,大陆男歌星",1,2,6,GWYGBSXDLY,0,6.0,6,10.0,1,国语,演唱会,2016-10-13,6,
7010409,Always,Bon Jovi,Always,Bon Jovi,1007729,Always,异国风情,300394,"Bon Jovi,欧美歌星",1,2,6,ALWAYS,0,2.0,2,6.0,1,英语,演唱会,2016-10-13,2,bon jovi 摇滚 Rock 欧美   经典 Hard Rock
7013756,男人,范晓萱,男人,范晓萱,382403,男人,经典老歌,103027,"范晓萱,港台女歌星",1,2,6,NR,0,7.0,7,2.0,1,国语,演唱会,2016-10-13,7,爵士 Jazz  独立 女声 中文 女
7013988,如果没有感觉,谢霆锋,如果没有感觉,谢霆锋,61219,如果没有感觉,经典老歌,112290,"谢霆锋,港台男歌星",1,2,6,RGMYGJ,0,10.0,10,6.0,1,国语,演唱会,2016-10-13,10,男人 任贤齐 伤感 悲 你的我的 霆锋
7014469,靠近,庾澄庆,靠近,庾澄庆,377074,靠近,经典老歌,113855,"庾澄庆,港台男歌星",1,2,7,KJ,0,7.0,7,2.0,1,国语,演唱会,2016-10-13,7,台湾 华语 经典的···· 童年 抒情 深情
7014585,如果看到她请告诉我,刘德华,,,0,如果看到她请告诉我,经典老歌,107210,"刘德华,港台男歌星",1,2,6,RGKDTQGSW,0,5.0,5,9.0,1,国语,演唱会,2016-10-13,5,
7014626,船,那英,船,那英,383894,船,经典老歌,108553,"那英,大陆女歌星",2,1,6,C,0,14.0,14,1.0,1,国语,MV,2016-10-13,14,好听 女声 流行 K 好听 空灵
7015670,梦中花,杨钰莹,梦中花,杨钰莹,156774,梦中花,经典老歌,113219,"杨钰莹,大陆女歌星",1,2,6,MZH,0,5.0,5,3.0,1,国语,演唱会,2016-10-13,5,好歌
7019420,我怎么了,朱桦,我怎么了,朱桦,3376465,我怎么了,经典老歌,115466,"朱桦,大陆女歌星",2,1,7,WZML,0,4.0,4,4.0,1,国语,MV,2016-10-13,4,华语 经典 大陆 好听 特别 感动 追忆
7019482,大红枣儿甜又香,韩延文,大红枣儿甜又香,华语群星,1770433087,大红枣儿甜又香,"经典老歌,民歌传唱",104034,"韩延文,大陆女歌星",2,1,6,DHZETYX,0,2.0,2,7.0,1,国语,MV,2016-10-13,2,
7019498,归航,董文华,归航,董文华,1772228069,归航,"经典老歌,民歌传唱",102817,"董文华,大陆女歌星",1,2,7,GH,0,6.0,6,2.0,1,国语,演唱会,2016-10-13,6,
7020418,圣堂之门,阿沁,圣堂之门,阿沁,387452,圣堂之门,经典老歌,100835,"阿沁,港台男歌星",1,2,6,STZM,0,5.0,5,4.0,1,国语,演唱会,2016-10-13,5,和风 岁月 死循环 流行 华语
7020905,故乡的风,张明敏,故乡的风,张明敏,1770220312,故乡的风,甜蜜幸福,114377,"张明敏,港台男歌星",1,2,7,GXDF,0,6.0,6,4.0,1,国语,演唱会,2016-10-13,6,
